cm,commodity,ids,more,names,operators,states,types
Newberg Rock & Dirt,Newberg Rock & Dirt,3503598,Newberg Rock & Dirt,Newberg Rock & Dirt,Newberg Rock & Dirt  ,OR ,Newberg Rock & Dirt
BENDER SAND & DIRT,BENDER SAND & DIRT,1401575,BENDER SAND & DIRT,BENDER SAND & DIRT,Bender Sand & Dirt  ,KS ,BENDER SAND & DIRT
Bush Pilot,Bush Pilot,5001797,Bush Pilot,Bush Pilot,Dirt Company  ,AK ,Bush Pilot
Rock Lake Plant,Rock Lake Plant,2103723,Rock Lake Plant,Rock Lake Plant,Dirt Doctor Inc  ,MN ,Rock Lake Plant
Astec Plant,Astec Plant,2103914,Astec Plant,Astec Plant,Dirt Work Specialists LLC  ,MN ,Astec Plant
Portable #1,Portable #1,4104757,Portable #1,Portable #1,Dirt Works  ,TX ,Portable #1
River Road Pit,River Road Pit,0801306,River Road Pit,River Road Pit,"Holley Dirt Company, Inc  ",FL ,River Road Pit
PORTABLE SCREENER,PORTABLE SCREENER,3901432,PORTABLE SCREENER,PORTABLE SCREENER,Krueger Brothers Gravel & Dirt  ,SD ,PORTABLE SCREENER
Forbes Pit,Forbes Pit,3609624,Forbes Pit,Forbes Pit,M R Dirt  ,PA ,Forbes Pit
Camptown Quarry,Camptown Quarry,3609931,Camptown Quarry,Camptown Quarry,M.R. Dirt Inc.  ,PA ,Camptown Quarry
Fedscreek Surface,Fedscreek Surface,1519799,Fedscreek Surface,Fedscreek Surface,"P B Dirt Movers, Inc  ",KY ,Fedscreek Surface
No. 3,No. 3,4407379,No. 3,No. 3,"P B Dirt Movers, Inc.  ",VA ,No. 3
Mine No. 6,Mine No. 6,4407296,Mine No. 6,Mine No. 6,PB Dirt Movers  ,VA ,Mine No. 6
Sandretto Drive,Sandretto Drive,0203332,Sandretto Drive,Sandretto Drive,"Prescott Dirt, LLC  ",AZ ,Sandretto Drive
R D BLANKENSHIP DIRT WORK,R D BLANKENSHIP DIRT WORK,2901986,R D BLANKENSHIP DIRT WORK,R D BLANKENSHIP DIRT WORK,R D Blankenship Dirt Work LLC  ,NM ,R D BLANKENSHIP DIRT WORK
Molino Pit,Molino Pit,0801417,Molino Pit,Molino Pit,"Sand & Dirt, Inc  ",FL ,Molino Pit
Pettibone Jaw Crusher,Pettibone Jaw Crusher,4300768,Pettibone Jaw Crusher,Pettibone Jaw Crusher,SIMPSON DIRTWORX LLC  ,VT ,Pettibone Jaw Crusher
Chieftan 1400,Chieftan 1400,4300776,Chieftan 1400,Chieftan 1400,SIMPSON DIRTWORX LLC  ,VT ,Chieftan 1400
Mike's Money Pit,Mike's Money Pit,2302283,Mike's Money Pit,Mike's Money Pit,"Spry's Dirt & Gravel, Inc.  ",MO ,Mike's Money Pit
Crusher,Crusher,2103518,Crusher,Crusher,Vogt Dirt Service  ,MN ,Crusher
